IPAQET3
1,2026/01/05 13:51:54,0,****************,**********                                                                                                 
1,2026/01/05 13:51:57,0,****************,**********                                                                                                 
1,2026/01/05 13:52:00,0,****************,**********                                                                                                 
1,2026/01/05 13:55:41,0,****************,**********                                                                                                 
1,2026/01/12 14:37:38,0,****************,**********                                                                                                 
1,2026/01/12 14:40:07,0,****************,**********                                                                                                 
1,2026/01/12 14:41:09,0,****************,**********                                                                                                 
1,2026/01/12 14:43:44,0,****************,**********                                                                                                 
1,2026/01/12 14:43:46,0,****************,**********                                                                                                 
1,2026/01/12 14:44:59,0,****************,**********                                                                                                 
1,2026/01/12 14:45:17,0,****************,**********                                                                                                 
1,2026/01/12 14:49:31,0,****************,**********                                                                                                 
1,2026/01/12 14:49:32,0,****************,**********                                                                                                 
1,2026/01/12 14:49:51,0,****************,**********                                                                                                 
1,2026/01/12 14:50:01,0,****************,**********                                                                                                 
1,2026/01/12 14:55:48,0,****************,**********                                                                                                 
1,2026/01/12 14:55:52,0,****************,**********                                                                                                 
1,2026/01/12 14:56:09,0,****************,**********                                                                                                 
1,2026/01/12 14:59:14,0,****************,**********                                                                                                 
1,2026/01/12 14:59:14,2,700 2000-184,TPU                                                                                                            
1,2026/01/12 14:59:15,2,700 2000-184,TPU                                                                                                            
1,2026/01/12 15:11:23,1,700 2000-184,                                                                                                               
1,2026/01/12 15:13:27,2,700 2000-184,TPU                                                                                                            
1,2026/01/12 15:15:10,1,700 2000-184,                                                                                                               
1,2026/01/12 15:15:26,2,700 2000-184,TPU                                                                                                            
1,2026/01/12 15:20:37,0,700 2000-184,                                                                                                               
1,2026/01/12 15:20:47,2,700 2000-184,TPU                                                                                                            
1,2026/01/12 15:49:43,1,700 2000-184,                                                                                                               
1,2026/01/12 15:51:57,0,700 2000-184,                                                                                                               
1,2026/01/12 15:52:06,2,700 2000-184,TPU                                                                                                            
